Pagina,Id,Code,Omschrijving,Groep,Omrekenfactor,Dimensie,Begin geldigheid,Gerelateerd
kubieke millimeter per milliliter,236,mm3/ml,kubieke millimeter per milliliter,SI afgeleide eenheid,0.001,L3/L3,2012-12-11,
kubieke millimeter per liter,235,mm3/l,kubieke millimeter per liter,SI afgeleide eenheid,0.000001,L3/L3,2012-12-11,
vierkante millimeter,234,mm2,vierkante millimeter,SI afgeleide eenheid,0.000001,L2,2012-12-11,
millimeter per week,233,mm/w,millimeter per week,SI afgeleide eenheid,1.653439E-09,L/T,2012-12-11,
millimeter per dag,231,mm/d,millimeter per dag,SI afgeleide eenheid,1.157407E-08,L/T,2012-12-11,
megajoule per seconde,230,MJ/s,megajoule per seconde,SI afgeleide eenheid,1000000,L2M/T3,2011-06-10,
minuut,229,min,minuut,SI niet-SI-eenheid,60,T,2020-11-06,
millihertz,228,mHz,millihertz,SI afgeleide eenheid,0.001,/T,2012-12-11,
milligram per milliliter,227,mg/ml,milligram per milliliter,SI afgeleide eenheid,1,M/L3,2011-09-27,
milligram per gram uur,226,mg/g.h,milligram per gram uur,SI afgeleide eenheid,2.777778E-07,M/MT,2012-12-11,
milligram per gram,225,mg/g,milligram per gram,SI afgeleide eenheid,0.001,M/M,2012-12-11,
millibecquerel per liter,224,mBq/l,millibecquerel per liter,SI afgeleide eenheid,1,/L3T,2019-02-22,
millibar,223,mbar,millibar,SI niet-SI-eenheid,100,M/LT2,2011-06-10,
kubieke meter per seconde,222,m3/s,kubieke meter per seconde,SI afgeleide eenheid,1,L3/T,2011-06-10,
kubieke meter per minuut,221,m3/min,kubieke meter per minuut,SI afgeleide eenheid,1.666667E-02,L3/T,2012-12-11,
kubieke meter per inwoner equivalent,220,m3/ie,kubieke meter per inwoner equivalent,Overig,,,2011-06-10,
kubieke meter per uur,219,m3/h,kubieke meter per uur,SI afgeleide eenheid,2.777778E-04,L3/T,2012-12-11,
kubieke meter per dag,218,m3/d,kubieke meter per dag,SI afgeleide eenheid,1.157407E-05,L3/T,2012-12-11,
kubieke meter per jaar,217,m3/a,kubieke meter per jaar,SI afgeleide eenheid,,L3/T,2011-06-10,
liter per seconde,216,l/s,liter per seconde,SI afgeleide eenheid,0.001,L3/T,2012-12-11,
liter per minuut,214,l/min,liter per minuut,SI afgeleide eenheid,1.666667E-05,L3/T,2012-12-11,
liter per kubieke meter,213,l/m3,liter per kubieke meter,SI afgeleide eenheid,0.001,L3/L3,2012-12-11,
liter per kilogram,211,l/kg,liter per kilogram,SI afgeleide eenheid,0.001,L3/M,2012-12-11,
liter per inwoner equivalent,210,l/ie,liter per inwoner equivalent,Overig,,,2011-06-10,
liter per uur,209,l/h,liter per uur,SI afgeleide eenheid,2.777778E-07,L3/T,2012-12-11,
kilowattuur per kubieke meter,208,kWh/m3,kilowattuur per kubieke meter,SI afgeleide eenheid,3600000,L2M/L3T2,2011-06-10,
kilowattuur per kubieke decameter,207,kWh/dam3,kilowattuur per kubieke decameter,SI afgeleide eenheid,3600,L2M/L3T2,2021-12-10,
kilowattuur,206,kWh,kilowattuur,SI afgeleide eenheid,3600000,L2M/T2,2021-12-10,
kilovolt,205,kV,kilovolt,SI afgeleide eenheid,1000,L2M/T3I,2011-06-10,
kilometer,204,km,kilometer,SI afgeleide eenheid,1000,L,2011-06-10,
kilojoule per gram,203,kJ/g,kilojoule per gram,SI afgeleide eenheid,1000000,L2M/MT2,2011-06-10,
kilohertz,202,kHz,kilohertz,SI afgeleide eenheid,1000,/T,2011-06-10,
kilogram per ton,201,kg/ton,kilogram per ton,SI afgeleide eenheid,0.001,M/M,2012-12-11,
kilogram per vierkante kilometer,200,kg/km2,kilogram per vierkante kilometer,SI afgeleide eenheid,0.000001,M/L2,2012-12-11,
vierkante centimeter,20,cm2,vierkante centimeter,SI afgeleide eenheid,0.0001,L2,2012-12-11,
kilogram per hectare,199,kg/ha,kilogram per hectare,SI afgeleide eenheid,0.0001,M/L2,2012-12-11,
kilogram per uur,198,kg/h,kilogram per uur,SI afgeleide eenheid,2.777780E-04,M/T,2012-12-11,
kilogram per jaar,197,kg/a,kilogram per jaar,SI afgeleide eenheid,,M/T,2011-06-10,
kilo electronvolt,196,keV,kilo electronvolt,SI niet-SI-eenheid,,,2011-06-10,
Jackson Turbidity Unit,195,JTU,Jackson Turbidity Unit,Overig,,,2011-06-10,
joule per gram,192,J/g,joule per gram,SI afgeleide eenheid,1000,L2M/MT2,2021-12-10,
joule per vierkante centimeter,191,J/cm2,joule per vierkante centimeter,SI afgeleide eenheid,10000,L2M/L2T2,2021-12-10,
joule,190,J,joule,SI afgeleide eenheid,1,L2M/T2,2011-06-10,
centimeter,19,cm,centimeter,SI afgeleide eenheid,0.01,L,2025-11-28,
inwoner equivalent,189,ie,inwoner equivalent,Overig,,,2011-06-10,
hertz,188,Hz,hertz,SI afgeleide eenheid,1,/T,2011-06-10,
hectare,187,ha,hectare,SI niet-SI-eenheid,10000,L2,2011-06-10,
gram per seconde,186,g/s,gram per seconde,SI afgeleide eenheid,0.001,M/T,2012-12-11,
